time,a1,a2,v1,v2,initial_a1,initial_a2
0,0.0065652,0.924062,0.171727,-1.4063,-0.00333333,1.01
0.125,0.0480136,0.634447,0.560164,-3.45666,-0.00333333,1.01
0.25,0.169324,-0.0249139,1.09374,-5.88144,-0.00333333,1.01
0.375,0.243371,-0.507558,0.239557,-2.4299,-0.00333333,1.01
0.5,0.249961,-0.705355,-0.0981263,-0.833452,-0.00333333,1.01
0.625,0.222959,-0.724432,-0.332042,0.534657,-0.00333333,1.01
0.75,0.163545,-0.559452,-0.654063,2.22493,-0.00333333,1.01
0.875,0.0378704,-0.0874035,-1.47986,5.81525,-0.00333333,1.01
1,-0.11405,0.49662,-0.791385,2.82704,-0.00333333,1.01
1.125,-0.184972,0.714743,-0.399545,0.86156,-0.00333333,1.01
1.25,-0.219963,0.732788,-0.164997,-0.549003,-0.00333333,1.01
1.375,-0.223795,0.573922,0.129803,-2.05622,-0.00333333,1.01
1.5,-0.172793,0.171018,0.805403,-4.84007,-0.00333333,1.01
1.625,-0.0511046,-0.512584,0.650786,-4.03531,-0.00333333,1.01
1.75,-0.0062539,-0.846639,0.159852,-1.64138,-0.00333333,1.01
1.875,1.40513e-06,-0.957176,-0.041223,-0.173056,-0.00333333,1.01
2,-0.0156806,-0.891559,-0.220355,1.25143,-0.00333333,1.01
2.125,-0.0628229,-0.62114,-0.598818,3.29564,-0.00333333,1.01
2.25,-0.184932,0.00437728,-1.07911,5.53713,-0.00333333,1.01
2.375,-0.261227,0.460101,-0.271501,2.26681,-0.00333333,1.01
2.5,-0.271837,0.638616,0.0688243,0.683464,-0.00333333,1.01
2.625,-0.247456,0.638564,0.322407,-0.696708,-0.00333333,1.01
2.75,-0.186679,0.448474,0.694039,-2.49884,-0.00333333,1.01
2.875,-0.0513989,-0.0719752,1.45914,-5.75226,-0.00333333,1.01
3,0.0806049,-0.56888,0.689457,-2.32121,-0.00333333,1.01
3.125,0.143516,-0.737604,0.357364,-0.518644,-0.00333333,1.01
3.25,0.173712,-0.712513,0.123443,0.914181,-0.00333333,1.01
3.375,0.169709,-0.498673,-0.228329,2.62481,-0.00333333,1.01
3.5,0.0952624,0.0200892,-1.03811,5.96645,-0.00333333,1.01
3.625,0.0024007,0.603392,-0.355725,2.96441,-0.00333333,1.01
3.75,-0.0167041,0.845767,-0.00308993,1.08154,-0.00333333,1.01
3.875,-0.00466898,0.890667,0.18866,-0.35034,-0.00333333,1.01
4,0.0325387,0.75126,0.433702,-1.96428,-0.00333333,1.01
4.125,0.119914,0.34234,1.07763,-5.01595,-0.00333333,1.01
4.25,0.245772,-0.260017,0.616995,-3.25761,-0.00333333,1.01
4.375,0.288714,-0.525087,0.136195,-1.21737,-0.00333333,1.01
4.5,0.287543,-0.588377,-0.144809,0.180341,-0.00333333,1.01
4.625,0.251303,-0.475059,-0.457134,1.70678,-0.00333333,1.01
4.75,0.159235,-0.110678,-1.12417,4.54479,-0.00333333,1.01
4.875,0.0114717,0.479667,-0.860185,3.26112,-0.00333333,1.01
5,-0.0642384,0.731099,-0.422714,1.02452,-0.00333333,1.01
5.125,-0.102059,0.763421,-0.190117,-0.474952,-0.00333333,1.01
5.25,-0.1096,0.609014,0.0962899,-2.0644,-0.00333333,1.01
5.375,-0.0628129,0.197118,0.761985,-4.94038,-0.00333333,1.01
5.5,0.0363223,-0.434747,0.451016,-3.5913,-0.00333333,1.01
5.625,0.0593402,-0.731137,-0.00893349,-1.40387,-0.00333333,1.01
5.75,0.0430278,-0.811715,-0.239045,0.0874197,-0.00333333,1.01
5.875,-0.00125,-0.704697,-0.491253,1.69842,-0.00333333,1.01
6,-0.0938231,-0.336651,-1.09164,4.58078,-0.00333333,1.01
6.125,-0.228423,0.239487,-0.724626,3.18344,-0.00333333,1.01
6.25,-0.284558,0.49175,-0.239652,1.09444,-0.00333333,1.01
6.375,-0.295864,0.538483,0.0501941,-0.319943,-0.00333333,1.01
6.5,-0.270261,0.406531,0.384607,-1.87197,-0.00333333,1.01
